OBJECTID,County,Survey_Type,Vaccine,Metric,Value_Percent,Enrollment,Year
19636,GARFIELD,Kindergarten,Polio,Fully Immunized,89.1,887,2019/2020
19637,GARFIELD,School,DTaP,In Process,0.5,12102,2019/2020
19638,GARFIELD,Child Care/Preschool,Varicella,In Process,1.9,786,2020/2021
19639,GARFIELD,Kindergarten,MMR,Medical Exemption,0.1,845,2020/2021
19640,GARFIELD,School,DTaP,Incomplete Record,1.9,11584,2020/2021
19641,GARFIELD,School,Polio,Medical Exemption,0.1,11584,2020/2021
19642,GARFIELD,Child Care/Preschool,DTaP,Incomplete Record,0.8,931,2021/2022
19643,GARFIELD,Child Care/Preschool,Hib,No Record,0.1,931,2021/2022
19644,GARFIELD,Child Care/Preschool,Polio,Fully Immunized,92.9,931,2021/2022
19645,GARFIELD,Child Care/Preschool,Varicella,In Process,4.3,931,2021/2022
19646,GARFIELD,School,Varicella,In Process,0.5,10841,2021/2022
19647,GARFIELD,School,Varicella,Incomplete Record,2.8,10841,2021/2022
19648,GARFIELD,Kindergarten,Polio,Fully Immunized,92.3,922,2023/2024
19649,GARFIELD,Kindergarten,Varicella,Medical Exemption,0.1,922,2023/2024
19650,GARFIELD,Child Care/Preschool,PCV,Nonmedical Exemption,3,855,2024/2025
19651,GARFIELD,Kindergarten,Polio,No Record,0.1,838,2024/2025
19652,GARFIELD,School,HepB,Fully Immunized,94.7,11498,2024/2025
19653,GILPIN,Kindergarten,,Summary Compliant,100,30,2017/2018
19654,GILPIN,School,MMR,Nonmedical Exemption,8.3,446,2017/2018
19655,GILPIN,Kindergarten,DTaP,In Process,0,34,2018/2019
19656,GILPIN,Child Care/Preschool,HepB,Incomplete Record,0,75,2019/2020
19657,GILPIN,Kindergarten,DTaP,Medical Exemption,0,27,2020/2021
19658,GILPIN,Kindergarten,Polio,Fully Immunized,81.3,32,2021/2022
19659,GILPIN,Kindergarten,Varicella,Incomplete Record,0,32,2021/2022
19660,GILPIN,School,,Summary Compliant,98.2,397,2021/2022
19661,GILPIN,School,MMR,No Record,0,383,2022/2023
19662,GILPIN,Child Care/Preschool,Polio,Incomplete Record,0,34,2023/2024
19663,GILPIN,Child Care/Preschool,Varicella,In Process,0,34,2023/2024
19664,GILPIN,Kindergarten,Polio,In Process,0,18,2023/2024
19665,GILPIN,School,DTaP,Medical Exemption,0.3,369,2023/2024
19666,GILPIN,School,MMR,No Record,0,369,2023/2024
19667,GILPIN,Child Care/Preschool,DTaP,Nonmedical Exemption,22.9,35,2024/2025
19668,GILPIN,Child Care/Preschool,MMR,Nonmedical Exemption,8.8,34,2025/2026
19669,GILPIN,Child Care/Preschool,Polio,In Process,2.9,34,2025/2026
19670,GILPIN,Kindergarten,Varicella,Fully Immunized,72,25,2025/2026
19671,GILPIN,School,HepB,No Record,0,309,2025/2026
19672,GRAND,Kindergarten,HepB,No Record,0,125,2017/2018
19673,GRAND,Kindergarten,HepB,Incomplete Record,1.6,125,2018/2019
19674,GRAND,Child Care/Preschool,HepB,Nonmedical Exemption,3.1,259,2019/2020
19675,GRAND,Kindergarten,HepB,Fully Immunized,92.2,103,2020/2021
19676,GRAND,Kindergarten,Varicella,No Record,5.5,128,2022/2023
19677,GRAND,Child Care/Preschool,HepB,Fully Immunized,87.2,257,2024/2025
19678,GRAND,Child Care/Preschool,PCV,Nonmedical Exemption,4.3,257,2024/2025
19679,GRAND,Kindergarten,Polio,Medical Exemption,0,125,2024/2025
19680,GRAND,School,MMR,No Record,1.7,1690,2024/2025
19681,GRAND,Child Care/Preschool,PCV,Incomplete Record,0.9,227,2025/2026
19682,GRAND,Kindergarten,MMR,Medical Exemption,0,119,2025/2026
19683,GUNNISON,Child Care/Preschool,MMR,Incomplete Record,1.9,270,2017/2018
19684,GUNNISON,Child Care/Preschool,MMR,Medical Exemption,1.1,270,2017/2018
19685,GUNNISON,School,Varicella,In Process,0,2012,2017/2018
19686,GUNNISON,Kindergarten,Polio,In Process,0,131,2018/2019
19687,GUNNISON,Child Care/Preschool,Polio,Incomplete Record,3.6,364,2019/2020
19688,GUNNISON,Child Care/Preschool,Varicella,Nonmedical Exemption,3.6,364,2019/2020
19689,GUNNISON,Kindergarten,HepB,Incomplete Record,0,145,2019/2020
19690,GUNNISON,Child Care/Preschool,MMR,Medical Exemption,0,350,2020/2021
19691,GUNNISON,Child Care/Preschool,Polio,Incomplete Record,4.9,350,2020/2021
19692,GUNNISON,Child Care/Preschool,Varicella,No Record,4,350,2020/2021
19693,GUNNISON,Kindergarten,Polio,Fully Immunized,85.4,137,2020/2021
19694,GUNNISON,Kindergarten,Varicella,Nonmedical Exemption,6.6,137,2020/2021
19695,GUNNISON,School,MMR,No Record,1.8,2049,2022/2023
19696,GUNNISON,School,Polio,Incomplete Record,3,2049,2022/2023
19697,GUNNISON,Kindergarten,Polio,In Process,0,141,2023/2024
19698,GUNNISON,Child Care/Preschool,Hib,Medical Exemption,0,341,2024/2025
19699,GUNNISON,School,Tdap,In Process,0,1144,2024/2025
19700,GUNNISON,Child Care/Preschool,DTaP,Medical Exemption,0,298,2025/2026
19701,GUNNISON,Child Care/Preschool,HepB,In Process,0,298,2025/2026
19702,GUNNISON,Child Care/Preschool,HepB,No Record,0.3,298,2025/2026
19703,GUNNISON,Kindergarten,HepB,Medical Exemption,0,129,2025/2026
19704,GUNNISON,Kindergarten,HepB,Nonmedical Exemption,6.2,129,2025/2026
19705,GUNNISON,Kindergarten,Varicella,Incomplete Record,7.8,129,2025/2026
19706,GUNNISON,School,Polio,Incomplete Record,7.3,1958,2025/2026
19707,HINSDALE,Child Care/Preschool,Varicella,No Record,26.3,19,2017/2018
19708,HINSDALE,Kindergarten,DTaP,Incomplete Record,10,10,2017/2018
19709,HINSDALE,School,Polio,Nonmedical Exemption,29,69,2018/2019
19710,HINSDALE,Child Care/Preschool,DTaP,Incomplete Record,0,19,2019/2020
19711,HINSDALE,Kindergarten,DTaP,Nonmedical Exemption,42.9,7,2019/2020
19712,HINSDALE,Kindergarten,MMR,Incomplete Record,0,7,2019/2020
19713,HINSDALE,Child Care/Preschool,PCV,Fully Immunized,72.7,22,2020/2021
19714,HINSDALE,Child Care/Preschool,Polio,Fully Immunized,59.1,22,2020/2021
19715,HINSDALE,Child Care/Preschool,Varicella,In Process,13.6,22,2020/2021
19716,HINSDALE,School,MMR,Fully Immunized,66.1,59,2020/2021
19717,HINSDALE,School,Tdap,Medical Exemption,2.8,36,2020/2021
19718,HINSDALE,Child Care/Preschool,PCV,Fully Immunized,62.5,16,2021/2022
19719,HINSDALE,Kindergarten,HepB,Nonmedical Exemption,40,5,2021/2022
19720,HINSDALE,School,DTaP,Fully Immunized,63.4,71,2021/2022
19721,HINSDALE,School,Tdap,Incomplete Record,0,39,2022/2023
19722,HINSDALE,School,DTaP,Fully Immunized,72.1,61,2023/2024
19723,HINSDALE,School,Tdap,Incomplete Record,16.2,37,2023/2024
19724,HINSDALE,Child Care/Preschool,Hib,Medical Exemption,0,16,2025/2026
19725,HINSDALE,Child Care/Preschool,MMR,Medical Exemption,0,16,2025/2026
19726,HINSDALE,Kindergarten,Varicella,In Process,0,4,2025/2026
19727,HUERFANO,Child Care/Preschool,HepB,Medical Exemption,0,101,2017/2018
19728,HUERFANO,Child Care/Preschool,Hib,No Record,0,101,2017/2018
19729,HUERFANO,Child Care/Preschool,MMR,Incomplete Record,3,101,2017/2018
19730,HUERFANO,Child Care/Preschool,Polio,Incomplete Record,3,101,2017/2018
19731,HUERFANO,Kindergarten,MMR,Fully Immunized,92.7,55,2018/2019
19732,HUERFANO,Kindergarten,MMR,In Process,0,55,2018/2019
19733,HUERFANO,Kindergarten,DTaP,Fully Immunized,92.7,55,2019/2020
19734,HUERFANO,Child Care/Preschool,Varicella,Fully Immunized,94.1,17,2020/2021
19735,HUERFANO,Child Care/Preschool,HepB,Nonmedical Exemption,2.1,48,2021/2022
19736,HUERFANO,Child Care/Preschool,PCV,Medical Exemption,2.1,48,2021/2022
19737,HUERFANO,Child Care/Preschool,Varicella,Nonmedical Exemption,2.1,48,2021/2022
19738,HUERFANO,Child Care/Preschool,HepB,Nonmedical Exemption,5.6,54,2022/2023
19739,HUERFANO,School,Tdap,In Process,5.2,344,2022/2023
19740,HUERFANO,Child Care/Preschool,Hib,Fully Immunized,95.5,66,2023/2024
19741,HUERFANO,Child Care/Preschool,PCV,Medical Exemption,0,66,2023/2024
19742,HUERFANO,Kindergarten,Polio,Incomplete Record,0,51,2023/2024
19743,HUERFANO,Kindergarten,Varicella,Fully Immunized,96.1,51,2023/2024
19744,HUERFANO,Kindergarten,DTaP,Medical Exemption,0,49,2024/2025
19745,HUERFANO,Kindergarten,Polio,Fully Immunized,91.8,49,2024/2025
19746,HUERFANO,School,MMR,Nonmedical Exemption,6.4,636,2024/2025
19747,HUERFANO,School,Polio,In Process,0,636,2024/2025
19748,HUERFANO,School,Tdap,In Process,0.6,343,2024/2025
19749,HUERFANO,Child Care/Preschool,PCV,Incomplete Record,0,40,2025/2026
19750,HUERFANO,Child Care/Preschool,Polio,In Process,0,40,2025/2026
19751,HUERFANO,Kindergarten,MMR,Nonmedical Exemption,0,34,2025/2026
19752,HUERFANO,Kindergarten,Polio,No Record,0,34,2025/2026
19753,HUERFANO,School,MMR,No Record,0,576,2025/2026
19754,HUERFANO,School,Polio,Incomplete Record,0,576,2025/2026
19755,JACKSON,Kindergarten,DTaP,In Process,0,10,2017/2018
19756,JACKSON,School,Varicella,No Record,16.3,160,2017/2018
19757,JACKSON,Kindergarten,,Summary Compliant,90,10,2019/2020
19758,JACKSON,School,HepB,In Process,0,162,2019/2020
19759,JACKSON,Child Care/Preschool,PCV,Incomplete Record,0,24,2020/2021
19760,JACKSON,Kindergarten,DTaP,Fully Immunized,77.8,9,2020/2021
19761,JACKSON,Kindergarten,Varicella,Fully Immunized,88.9,9,2020/2021
19762,JACKSON,School,Tdap,Medical Exemption,0,78,2020/2021
19763,JACKSON,Child Care/Preschool,MMR,No Record,0,18,2021/2022
19764,JACKSON,Kindergarten,DTaP,Medical Exemption,0,17,2021/2022
19765,JACKSON,Kindergarten,DTaP,Nonmedical Exemption,5.9,17,2021/2022
19766,JACKSON,Kindergarten,Polio,Nonmedical Exemption,5.9,17,2021/2022
19767,JACKSON,Child Care/Preschool,HepB,In Process,0,17,2022/2023
19768,JACKSON,Child Care/Preschool,Polio,Incomplete Record,0,17,2022/2023
19769,JACKSON,School,Polio,Fully Immunized,93.1,130,2024/2025
19770,JACKSON,Child Care/Preschool,Varicella,Incomplete Record,0,14,2025/2026
19771,JACKSON,Kindergarten,,Summary Compliant,100,6,2025/2026
19772,JACKSON,Kindergarten,Polio,In Process,0,6,2025/2026
19773,JEFFERSON,Child Care/Preschool,MMR,Medical Exemption,0.1,11444,2017/2018
19774,JEFFERSON,Kindergarten,DTaP,Medical Exemption,0.1,6093,2017/2018
19775,JEFFERSON,Kindergarten,MMR,Fully Immunized,88.8,6093,2017/2018
19776,JEFFERSON,School,HepB,In Process,0.1,85241,2017/2018
19777,JEFFERSON,Child Care/Preschool,DTaP,Fully Immunized,93.6,9870,2018/2019
19778,JEFFERSON,Child Care/Preschool,HepB,Incomplete Record,1.2,9870,2018/2019
19779,JEFFERSON,Child Care/Preschool,Polio,Fully Immunized,95.1,11723,2019/2020
19780,JEFFERSON,School,HepB,Medical Exemption,0.2,85510,2019/2020
19781,JEFFERSON,School,MMR,Medical Exemption,0.1,81221,2020/2021
19782,JEFFERSON,School,Varicella,Medical Exemption,0.2,81221,2020/2021
19783,JEFFERSON,Kindergarten,MMR,Fully Immunized,91.4,6103,2021/2022
19784,JEFFERSON,School,Tdap,Medical Exemption,0.1,44494,2021/2022
19785,JEFFERSON,Child Care/Preschool,MMR,No Record,0.6,9794,2022/2023
19786,JEFFERSON,Child Care/Preschool,MMR,Nonmedical Exemption,1.6,9794,2022/2023
19787,JEFFERSON,Child Care/Preschool,Polio,Medical Exemption,0.1,9794,2022/2023
19788,JEFFERSON,School,DTaP,Nonmedical Exemption,2.3,79620,2022/2023
19789,JEFFERSON,Child Care/Preschool,Hib,No Record,0.9,9729,2023/2024
19790,JEFFERSON,School,Polio,Medical Exemption,0.1,78418,2023/2024
19791,JEFFERSON,Child Care/Preschool,DTaP,In Process,1,10490,2024/2025
19792,JEFFERSON,Child Care/Preschool,Polio,Incomplete Record,0.5,10490,2024/2025
19793,JEFFERSON,Child Care/Preschool,Polio,Nonmedical Exemption,2.9,10888,2025/2026
19794,KIOWA,Child Care/Preschool,HepB,Fully Immunized,100,18,2017/2018
19795,KIOWA,Child Care/Preschool,MMR,No Record,0,18,2017/2018
19796,KIOWA,Kindergarten,MMR,No Record,0,30,2017/2018
19797,KIOWA,School,HepB,In Process,0,567,2017/2018
19798,KIOWA,Child Care/Preschool,HepB,In Process,0,44,2018/2019
19799,KIOWA,Child Care/Preschool,HepB,Medical Exemption,0,42,2019/2020
19800,KIOWA,Child Care/Preschool,Polio,Nonmedical Exemption,0,42,2019/2020
19801,KIOWA,School,HepB,Incomplete Record,0,221,2019/2020
19802,KIOWA,School,Polio,In Process,0,221,2019/2020
19803,KIOWA,School,Varicella,Medical Exemption,0,221,2019/2020
19804,KIOWA,Child Care/Preschool,Hib,In Process,0,36,2020/2021
19805,KIOWA,Child Care/Preschool,Polio,No Record,0,36,2020/2021
19806,KIOWA,Kindergarten,MMR,Medical Exemption,0,20,2020/2021
19807,KIOWA,Kindergarten,Polio,No Record,0,20,2020/2021
19808,KIOWA,Child Care/Preschool,Hib,Fully Immunized,100,35,2021/2022
19809,KIOWA,Kindergarten,MMR,Medical Exemption,0,26,2021/2022
19810,KIOWA,Child Care/Preschool,Hib,Fully Immunized,91.7,36,2022/2023
19811,KIOWA,Child Care/Preschool,MMR,Medical Exemption,0,36,2022/2023
19812,KIOWA,Child Care/Preschool,PCV,Medical Exemption,0,36,2022/2023
19813,KIOWA,Child Care/Preschool,Varicella,No Record,0,36,2022/2023
19814,KIOWA,Kindergarten,Varicella,Nonmedical Exemption,5.6,18,2022/2023
19815,KIOWA,Child Care/Preschool,DTaP,No Record,0,32,2023/2024
19816,KIOWA,Child Care/Preschool,MMR,Nonmedical Exemption,3.1,32,2023/2024
19817,KIOWA,School,HepB,Incomplete Record,0,212,2023/2024
19818,KIOWA,Kindergarten,MMR,In Process,0,14,2024/2025
19819,KIOWA,Child Care/Preschool,HepB,Incomplete Record,0,26,2025/2026
19820,KIOWA,Child Care/Preschool,Varicella,Medical Exemption,0,26,2025/2026
19821,KIOWA,Kindergarten,Varicella,Medical Exemption,0,15,2025/2026
19822,KIOWA,School,MMR,Nonmedical Exemption,2.5,197,2025/2026
19823,KIOWA,School,Tdap,No Record,0,98,2025/2026
19824,KIOWA,School,Varicella,No Record,0,197,2025/2026
19825,KIT CARSON,Child Care/Preschool,DTaP,Medical Exemption,0,173,2017/2018
19826,KIT CARSON,Child Care/Preschool,Varicella,Medical Exemption,0,173,2017/2018
19827,KIT CARSON,Kindergarten,MMR,No Record,0,80,2017/2018
19828,KIT CARSON,Kindergarten,Varicella,Incomplete Record,1.3,80,2017/2018
19829,KIT CARSON,School,DTaP,Incomplete Record,0.1,1270,2017/2018
19830,KIT CARSON,Kindergarten,Varicella,Medical Exemption,0,141,2018/2019
19831,KIT CARSON,Kindergarten,Varicella,Nonmedical Exemption,3.5,141,2018/2019
19832,KIT CARSON,Child Care/Preschool,MMR,Nonmedical Exemption,3.2,158,2019/2020
19833,KIT CARSON,Child Care/Preschool,Varicella,No Record,1.7,175,2020/2021
19834,KIT CARSON,School,HepB,No Record,0.8,1262,2021/2022
19835,KIT CARSON,School,Varicella,Medical Exemption,0.3,1262,2021/2022
19836,KIT CARSON,Kindergarten,HepB,Nonmedical Exemption,3.2,95,2022/2023
19837,KIT CARSON,School,DTaP,Fully Immunized,95.6,1285,2022/2023
19838,KIT CARSON,Child Care/Preschool,MMR,Medical Exemption,0,154,2023/2024
19839,KIT CARSON,Kindergarten,DTaP,Incomplete Record,0,55,2023/2024
19840,KIT CARSON,Kindergarten,DTaP,Nonmedical Exemption,7.3,55,2023/2024
19841,KIT CARSON,Kindergarten,Polio,In Process,0,55,2023/2024
19842,KIT CARSON,School,DTaP,Fully Immunized,96.2,1045,2023/2024
19843,KIT CARSON,School,Polio,Incomplete Record,0.2,1210,2024/2025
19844,KIT CARSON,School,Tdap,Incomplete Record,2.1,682,2025/2026
19845,LA PLATA,Child Care/Preschool,MMR,Incomplete Record,2.1,871,2017/2018
19846,LA PLATA,Kindergarten,DTaP,Nonmedical Exemption,6.9,423,2017/2018
19847,LA PLATA,School,Varicella,Incomplete Record,3.6,6137,2017/2018
19848,LA PLATA,Child Care/Preschool,DTaP,In Process,0.5,871,2018/2019
19849,LA PLATA,Child Care/Preschool,MMR,Medical Exemption,0.2,871,2018/2019
19850,LA PLATA,School,MMR,No Record,0.4,5724,2018/2019
19851,LA PLATA,Kindergarten,DTaP,Fully Immunized,90,482,2019/2020
19852,LA PLATA,Kindergarten,MMR,Nonmedical Exemption,7.7,482,2019/2020
19853,LA PLATA,Child Care/Preschool,,Summary Compliant,95.4,540,2020/2021
19854,LA PLATA,Child Care/Preschool,DTaP,In Process,1.5,540,2020/2021
19855,LA PLATA,Kindergarten,Polio,Fully Immunized,84.1,145,2020/2021
19856,LA PLATA,School,HepB,Incomplete Record,0.7,2477,2020/2021
19857,LA PLATA,Kindergarten,HepB,Incomplete Record,5.7,475,2021/2022
19858,LA PLATA,School,MMR,Fully Immunized,90.8,6967,2021/2022
19859,LA PLATA,School,Tdap,In Process,0.1,3943,2021/2022
19860,LA PLATA,Child Care/Preschool,Varicella,Incomplete Record,0.8,840,2022/2023
19861,LA PLATA,School,HepB,In Process,0,6977,2022/2023
19862,LA PLATA,School,HepB,No Record,1.6,6977,2022/2023
19863,LA PLATA,School,Varicella,Incomplete Record,3.8,6977,2022/2023
19864,LA PLATA,Child Care/Preschool,Polio,Nonmedical Exemption,4.9,609,2024/2025
19865,LA PLATA,Child Care/Preschool,DTaP,In Process,1.9,628,2025/2026
19866,LA PLATA,School,HepB,No Record,0.4,6532,2025/2026
19867,LAKE,Child Care/Preschool,PCV,Nonmedical Exemption,0,116,2017/2018
19868,LAKE,Kindergarten,Polio,No Record,0,58,2017/2018
19869,LAKE,School,MMR,Nonmedical Exemption,3.1,942,2017/2018
19870,LAKE,Kindergarten,HepB,Medical Exemption,0,77,2018/2019
19871,LAKE,School,MMR,Fully Immunized,93.2,1081,2018/2019
19872,LAKE,School,MMR,In Process,0,1081,2018/2019
19873,LAKE,School,Tdap,In Process,0,655,2018/2019
19874,LAKE,School,Varicella,Incomplete Record,2.2,1081,2018/2019
19875,LAKE,School,Varicella,No Record,0,1019,2019/2020
19876,LAKE,School,HepB,Medical Exemption,0.1,925,2020/2021
19877,LAKE,Child Care/Preschool,DTaP,Incomplete Record,0,93,2021/2022
19878,LAKE,Child Care/Preschool,Hib,Fully Immunized,93.5,93,2021/2022
19879,LAKE,School,HepB,Medical Exemption,0,896,2022/2023
19880,LAKE,Kindergarten,HepB,Nonmedical Exemption,1.5,65,2023/2024
19881,LAKE,School,Polio,Fully Immunized,75.7,904,2023/2024
19882,LAKE,Child Care/Preschool,Hib,In Process,0,99,2024/2025
19883,LAKE,School,Tdap,Nonmedical Exemption,0.8,493,2024/2025
19884,LAKE,Child Care/Preschool,DTaP,Medical Exemption,0,76,2025/2026
19885,LAKE,Child Care/Preschool,Varicella,Medical Exemption,0,76,2025/2026
19886,LAKE,School,DTaP,Medical Exemption,0,819,2025/2026
19887,LAKE,School,MMR,Medical Exemption,0,819,2025/2026
19888,LARIMER,Child Care/Preschool,HepB,In Process,0.9,5454,2017/2018
19889,LARIMER,Child Care/Preschool,HepB,Incomplete Record,0.8,5454,2017/2018
19890,LARIMER,Kindergarten,HepB,In Process,0.7,3594,2018/2019
19891,LARIMER,School,Tdap,Incomplete Record,0.7,27816,2019/2020
19892,LARIMER,Child Care/Preschool,MMR,Fully Immunized,95.5,4336,2020/2021
19893,LARIMER,Child Care/Preschool,Polio,Fully Immunized,95.6,4336,2020/2021
19894,LARIMER,Child Care/Preschool,Varicella,Fully Immunized,94.7,4336,2020/2021
19895,LARIMER,Kindergarten,HepB,Incomplete Record,1.8,3632,2020/2021
19896,LARIMER,Kindergarten,Varicella,Nonmedical Exemption,7.2,3632,2020/2021
19897,LARIMER,Child Care/Preschool,DTaP,In Process,0.7,4920,2021/2022
19898,LARIMER,Kindergarten,Varicella,Medical Exemption,0.3,3789,2021/2022
19899,LARIMER,School,HepB,In Process,0.3,50511,2021/2022
19900,LARIMER,Child Care/Preschool,MMR,Fully Immunized,95.5,5218,2022/2023
19901,LARIMER,Kindergarten,,Summary Compliant,91.4,3650,2022/2023
19902,LARIMER,Kindergarten,DTaP,Medical Exemption,0.2,3650,2022/2023
19903,LARIMER,Kindergarten,Polio,In Process,1,3650,2022/2023
19904,LARIMER,Kindergarten,Varicella,Nonmedical Exemption,6.7,3650,2022/2023
19905,LARIMER,School,Tdap,Incomplete Record,0,29613,2022/2023
19906,LARIMER,Child Care/Preschool,HepB,Medical Exemption,0,5575,2023/2024
19907,LARIMER,Kindergarten,HepB,In Process,0.3,3492,2023/2024
19908,LARIMER,School,MMR,Incomplete Record,1.7,49561,2023/2024
19909,LARIMER,Child Care/Preschool,HepB,In Process,1,5993,2024/2025
19910,LARIMER,Child Care/Preschool,HepB,Medical Exemption,0.1,5993,2024/2025
19911,LARIMER,Kindergarten,Varicella,In Process,0.8,3190,2024/2025
19912,LARIMER,School,Varicella,In Process,0.3,48294,2024/2025
19913,LAS ANIMAS,School,DTaP,Medical Exemption,0,1364,2017/2018
19914,LAS ANIMAS,School,MMR,Nonmedical Exemption,2.3,1364,2017/2018
19915,LAS ANIMAS,School,MMR,Medical Exemption,0.1,2125,2018/2019
19916,LAS ANIMAS,Child Care/Preschool,DTaP,Medical Exemption,0,247,2019/2020
19917,LAS ANIMAS,Child Care/Preschool,Hib,In Process,1.6,247,2019/2020
19918,LAS ANIMAS,School,MMR,Incomplete Record,4.1,2017,2020/2021
19919,LAS ANIMAS,Child Care/Preschool,DTaP,In Process,0,142,2021/2022
19920,LAS ANIMAS,Child Care/Preschool,Hib,In Process,0,156,2022/2023
19921,LAS ANIMAS,School,Tdap,Fully Immunized,80.9,1192,2022/2023
19922,LAS ANIMAS,School,HepB,Fully Immunized,91.3,1811,2023/2024
19923,LAS ANIMAS,School,Polio,Medical Exemption,0.3,1811,2023/2024
19924,LAS ANIMAS,Kindergarten,HepB,Medical Exemption,0,132,2024/2025
19925,LAS ANIMAS,School,Varicella,Incomplete Record,3.3,1855,2024/2025
19926,LAS ANIMAS,Child Care/Preschool,HepB,Nonmedical Exemption,4.2,143,2025/2026
19927,LAS ANIMAS,Kindergarten,HepB,In Process,0.8,119,2025/2026
19928,LAS ANIMAS,Kindergarten,Varicella,Fully Immunized,88.2,119,2025/2026
19929,LINCOLN,Child Care/Preschool,PCV,No Record,0,95,2017/2018
19930,LINCOLN,Child Care/Preschool,Varicella,Incomplete Record,0,95,2017/2018
19931,LINCOLN,School,Polio,In Process,0.3,676,2017/2018
19932,LINCOLN,Kindergarten,DTaP,Incomplete Record,9.4,53,2018/2019
19933,LINCOLN,Kindergarten,HepB,In Process,0,53,2018/2019
19934,LINCOLN,Child Care/Preschool,HepB,Incomplete Record,0,116,2019/2020
19935,LINCOLN,Child Care/Preschool,Polio,In Process,0,116,2019/2020
19936,LINCOLN,School,Polio,No Record,2.1,677,2019/2020
19937,LINCOLN,Kindergarten,HepB,Nonmedical Exemption,3.1,65,2020/2021
19938,LINCOLN,School,Polio,Nonmedical Exemption,4,651,2020/2021
19939,LINCOLN,School,Varicella,Incomplete Record,4,651,2020/2021
19940,LINCOLN,Kindergarten,DTaP,Fully Immunized,82.7,52,2022/2023
19941,LINCOLN,School,MMR,Nonmedical Exemption,3.1,667,2023/2024
19942,LINCOLN,Child Care/Preschool,PCV,Incomplete Record,0,91,2024/2025
19943,LINCOLN,School,Tdap,Nonmedical Exemption,6.2,341,2024/2025
19944,LOGAN,Child Care/Preschool,DTaP,Medical Exemption,0,443,2017/2018
19945,LOGAN,Child Care/Preschool,Hib,Fully Immunized,94.6,443,2017/2018
19946,LOGAN,Child Care/Preschool,Hib,No Record,0.7,443,2017/2018
19947,LOGAN,Child Care/Preschool,Varicella,Nonmedical Exemption,2.3,443,2017/2018
19948,LOGAN,Kindergarten,DTaP,In Process,0,232,2017/2018
19949,LOGAN,School,HepB,Incomplete Record,0.5,2724,2017/2018
19950,LOGAN,Child Care/Preschool,MMR,Medical Exemption,0,311,2018/2019
19951,LOGAN,Child Care/Preschool,Polio,Nonmedical Exemption,1.9,426,2019/2020
19952,LOGAN,School,DTaP,Nonmedical Exemption,2.3,2705,2019/2020
19953,LOGAN,Child Care/Preschool,HepB,Fully Immunized,95.6,225,2021/2022
19954,LOGAN,Kindergarten,Polio,Nonmedical Exemption,1,199,2021/2022
19955,LOGAN,School,Tdap,Medical Exemption,0.2,1312,2021/2022
19956,LOGAN,School,MMR,No Record,0.2,2522,2022/2023
19957,LOGAN,School,Polio,In Process,0.8,2522,2022/2023
19958,LOGAN,Child Care/Preschool,MMR,Incomplete Record,0,270,2023/2024
19959,LOGAN,Child Care/Preschool,PCV,Nonmedical Exemption,2.2,270,2023/2024
19960,LOGAN,School,MMR,No Record,0.1,2308,2023/2024
19961,LOGAN,Kindergarten,Varicella,Medical Exemption,0,216,2025/2026
19962,LOGAN,School,MMR,Incomplete Record,0.2,2468,2025/2026
19963,MESA,Child Care/Preschool,Hib,Medical Exemption,0.1,2540,2017/2018
19964,MESA,Kindergarten,DTaP,In Process,0.2,1652,2018/2019
19965,MESA,Kindergarten,Varicella,Fully Immunized,85,1652,2018/2019
19966,MESA,School,HepB,Nonmedical Exemption,3.5,22528,2018/2019
19967,MESA,School,DTaP,No Record,0.4,22900,2019/2020
19968,MESA,Child Care/Preschool,Polio,Incomplete Record,3.9,2438,2021/2022
19969,MESA,Kindergarten,DTaP,In Process,0,1707,2021/2022
19970,MESA,School,Tdap,Nonmedical Exemption,2.8,12341,2021/2022
19971,MESA,School,Varicella,Medical Exemption,0.1,22377,2021/2022
19972,MESA,School,COVID,In Process,0,22470,2022/2023
19973,MESA,Child Care/Preschool,PCV,Medical Exemption,0.2,2471,2023/2024
19974,MESA,Kindergarten,Polio,Incomplete Record,5.6,1396,2024/2025
19975,MESA,Kindergarten,Polio,No Record,1.7,1396,2024/2025
19976,MESA,School,DTaP,No Record,1,21007,2024/2025
19977,MESA,Child Care/Preschool,Polio,No Record,0.7,2538,2025/2026
19978,MESA,Child Care/Preschool,Varicella,Nonmedical Exemption,4.3,2538,2025/2026
19979,MESA,Kindergarten,HepB,Medical Exemption,0.3,1517,2025/2026
19980,MESA,School,MMR,Fully Immunized,93.4,21198,2025/2026
19981,MINERAL,School,Tdap,Fully Immunized,82.2,45,2017/2018
19982,MINERAL,School,Varicella,In Process,0,77,2017/2018
19983,MINERAL,School,Polio,In Process,0,95,2018/2019
19984,MINERAL,School,Tdap,Nonmedical Exemption,9.6,52,2018/2019
19985,MINERAL,Child Care/Preschool,MMR,Incomplete Record,0,21,2019/2020
19986,MINERAL,Kindergarten,MMR,In Process,0,6,2019/2020
19987,MINERAL,Child Care/Preschool,HepB,No Record,0,24,2020/2021
19988,MINERAL,Child Care/Preschool,Hib,In Process,4.2,24,2020/2021
19989,MINERAL,Child Care/Preschool,MMR,Medical Exemption,0,24,2020/2021
19990,MINERAL,Kindergarten,DTaP,Nonmedical Exemption,0,9,2021/2022
19991,MINERAL,School,Tdap,Fully Immunized,94.6,37,2021/2022
